r_value,mZp_GeV,xsecXBR_pb
0.6666666666666666,3882.554064904418,0.0020293871941098277
0.6666666666666666,3883.597658474947,0.0020044951626736573
0.6666666666666666,3885.2847821182486,0.001941871784128255
0.6666666666666666,3885.964912280702,0.001929653721302198
0.6666666666666666,3888.7371789635145,0.0018812048520804384
0.6666666666666666,3892.0133304687,0.0018224332442626666
0.6666666666666666,3894.7368421052633,0.0017714026283261002
0.6666666666666666,3895.821816429616,0.001765497747956973
0.6666666666666666,3903.508771929825,0.0017242221003472551
0.6666666666666666,3906.485096073291,0.0017654977479569748
0.6666666666666666,3910.5863883569527,0.0018224332442626666
0.6666666666666666,3912.2807017543864,0.0018441399596611809
0.6666666666666666,3914.164224309395,0.0018684275789293068
0.6666666666666666,,
0.6666666666666666,3026.6806690669864,0.014324128943024705
0.6666666666666666,3026.315789473684,0.014304146649661259
0.6666666666666666,3020.318840670671,0.013894954943731374
0.6666666666666666,3021.726397543523,0.013460856104524415
0.6666666666666666,3026.315789473684,0.013117372037828187
0.6666666666666666,3027.361812281494,0.013040319151841302
0.6666666666666666,3032.997227019465,0.012632920392390395
0.6666666666666666,3035.0877192982457,0.012466958291076427
0.6666666666666666,3038.074573135487,0.012238249369681924
0.6666666666666666,3040.151144917416,0.011855908450490893
0.6666666666666666,3040.5911847868792,0.01148551242423938
0.6666666666666666,3041.0312246563426,0.011126688114894732
0.6666666666666666,3041.919371703847,0.010779074004992725
0.6666666666666666,3043.8596491228072,0.010575636674501366
0.6666666666666666,3045.160715200613,0.0104423198714067
0.6666666666666666,3045.4157105697645,0.010116086432495808
0.6666666666666666,3045.6707059389155,0.009800045006276945
0.6666666666666666,3046.2790879035056,0.00949387717927582
0.6666666666666666,3049.801734009078,0.009197274485723637
0.6666666666666666,3052.6315789473683,0.008968408006032031
0.6666666666666666,3053.3661195654167,0.008909938096776107
0.6666666666666666,3054.967425500497,0.008631578519441796
0.6666666666666666,3055.146596099076,0.008361915304916317
0.6666666666666666,3055.7995164149697,0.008100676766028598
0.6666666666666666,3059.3104561090463,0.007847599703514606
0.6666666666666666,3061.40350877193,0.007701787200122825
0.6666666666666666,3062.8525609848284,0.007602429140842625
0.6666666666666666,3066.3363850827664,0.007364918067322966
0.6666666666666666,3069.3133447724417,0.007134827189243392
0.6666666666666666,3070.1754385964914,0.007069547791678397
0.6666666666666666,3072.2903044621175,0.006911924688779366
0.6666666666666666,3075.267264151794,0.006695985990436289
0.6666666666666666,3078.1794790116746,0.006486793534788508
0.6666666666666666,3078.9473684210525,0.006298963980775621
0.6666666666666666,3079.014168630051,0.006284136559286965
0.6666666666666666,3079.13692533142,0.0060878108859147625
0.6666666666666666,3080.901226790843,0.005897618715476719
0.6666666666666666,3084.415408566344,0.00571336842831558
0.6666666666666666,3087.7192982456145,0.0055453970256926595
0.6666666666666666,3087.9295903418456,0.005534874391254136
0.6666666666666666,3091.443772117347,0.005361956770568816
0.6666666666666666,3094.4424877133406,0.005194441350806199
0.6666666666666666,3096.4912280701756,0.00507655323382048
0.6666666666666666,3098.7613866562483,0.005032159359259993
0.6666666666666666,3105.2631578947367,0.004912207301268549
0.6666666666666666,3114.0350877192986,0.004905855551150576
0.6666666666666666,3122.8070175438597,0.004899472845914384
0.6666666666666666,3131.5789473684213,0.004893007770212715
0.6666666666666666,3140.350877192983,0.0048865140398708625
0.6666666666666666,3149.122807017544,0.004879115602845936
0.6666666666666666,3154.0708048116776,0.004874947295931591
0.6666666666666666,3157.8947368421054,0.004871728367440398
0.6666666666666666,3166.666666666667,0.004864352316694413
0.6666666666666666,3175.438596491228,0.004856987433673828
0.6666666666666666,3184.2105263157896,0.004849633701470109
0.6666666666666666,3192.982456140351,0.004842291103200359
0.6666666666666666,3201.754385964912,0.004829021140559165
0.6666666666666666,3210.5263157894738,0.004792171363042528
0.6666666666666666,3219.2982456140353,0.0047556027824938694
0.6666666666666666,3227.2615871968706,0.00472264676880295
0.6666666666666666,3228.0701754385964,0.0047193687329526324
0.6666666666666666,3236.842105263158,0.004685358974905893
0.6666666666666666,3245.6140350877195,0.004654978052487998
0.6666666666666666,3254.3859649122805,0.004627315142697418
0.6666666666666666,3263.1578947368425,0.004599816623924256
0.6666666666666666,3271.08588283101,0.004575104334255749
0.6666666666666666,3271.9298245614036,0.004572481519250064
0.6666666666666666,3280.7017543859647,0.004545308857561899
0.6666666666666666,3289.4736842105267,0.004518297673517787
0.6666666666666666,3298.245614035088,0.004491447007512453
0.6666666666666666,3307.0175438596493,0.004438289147611738
0.6666666666666666,3307.9210231551133,0.004432171342476085
0.6666666666666666,3315.789473684211,0.004372915611620048
0.6666666666666666,3324.561403508772,0.004307788942356275
0.6666666666666666,3326.4759656306596,0.004293703787688999
0.6666666666666666,3333.3333333333335,0.0042405493867690965
0.6666666666666666,3342.105263157895,0.004173512544771853
0.6666666666666666,3343.948407456905,0.004159562163071847
0.6666666666666666,3350.877192982456,0.004107535456541187
0.6666666666666666,3359.6491228070176,0.004050893111458201
0.6666666666666666,3363.3662649694543,0.0040296113202004
0.6666666666666666,3368.421052631579,0.004003045424667983
0.6666666666666666,3377.1929824561403,0.003957358763763297
0.6666666666666666,3385.964912280702,0.003912193523617851
0.6666666666666666,3387.6218396443946,0.0039037203328860883
0.6666666666666666,3394.7368421052633,0.003867543753269101
0.6666666666666666,3403.5087719298244,0.0038163844924992774
0.6666666666666666,3408.482640566819,0.0037817623652671357
0.6666666666666666,3412.2807017543864,0.0037555809514851013
0.6666666666666666,3421.0526315789475,0.003695803520278011
0.6666666666666666,3425.835100639305,0.003663614544020716
0.6666666666666666,3429.8245614035086,0.003637160099009814
0.6666666666666666,3438.5964912280706,0.0035796625402210965
0.6666666666666666,3443.3077222735737,0.003549157834567433
0.6666666666666666,3447.368421052632,0.003523073923897562
0.6666666666666666,3456.140350877193,0.0034673798811438636
0.6666666666666666,3460.780343907841,0.003438276921143307
0.6666666666666666,3464.9122807017548,0.0034125662702134117
0.6666666666666666,3473.684210526316,0.0033586191729175338
0.6666666666666666,3478.252965542108,0.0033308600906185202
0.6666666666666666,3482.4561403508774,0.0033055248910913567
0.6666666666666666,3491.228070175439,0.0032532699431156472
0.6666666666666666,3495.7255871763764,0.0032267991199458083
0.6666666666666666,3500.0,0.003201841060493523
0.6666666666666666,3508.7719298245615,0.003136781559245505
0.6666666666666666,3510.495470942986,0.003125989167125166
0.6666666666666666,3517.543859649123,0.0030777781469483742
0.6666666666666666,3524.88920536344,0.0030283286655749457
0.6666666666666666,3526.315789473684,0.003017595456839502
0.6666666666666666,3535.0877192982452,0.002952429021152518
0.6666666666666666,3537.64200481068,0.002933719221802959
0.6666666666666666,3543.8596491228072,0.0028886698862124016
0.6666666666666666,3550.6824095377065,0.002842065516274511
0.6666666666666666,3552.631578947369,0.0028313354330163115
0.6666666666666666,3561.40350877193,0.002789358080960241
0.6666666666666666,3569.049838913279,0.0027532752073774354
0.6666666666666666,3570.1754385964914,0.0027480030847243553
0.6666666666666666,3578.947368421053,0.0027072612172672197
0.6666666666666666,3587.689474859894,0.0026672588383874055
0.6666666666666666,3587.719298245614,0.0026671120493152664
0.6666666666666666,3596.4912280701756,0.002624661179495989
0.6666666666666666,3600.444821276522,0.0026672588383874055
0.6666666666666666,3605.263157894737,0.0027164265507085466
0.6666666666666666,3607.0709102385663,0.0027532752073774354
0.6666666666666666,3611.329343410813,0.002842065516274511
0.6666666666666666,3614.0350877192977,0.0028999634499223314
0.6666666666666666,3615.58777658306,0.002933719221802959
0.6666666666666666,3619.8462097553065,0.0030283286655749457
0.6666666666666666,3620.7676813292614,0.003125989167125166
0.6666666666666666,3622.8070175438597,0.0031731255299572167
0.6666666666666666,3625.0926170791176,0.0032267991199458083
0.6666666666666666,3629.4175528289743,0.0033308600906185202
0.6666666666666666,3631.5789473684213,0.003384115683150465
0.6666666666666666,3633.748424544633,0.003438276921143307
0.6666666666666666,3636.0172543499634,0.0034926159329855453
0.6666666666666666,,
0.6666666666666666,2806.523454476389,0.02387643093241705
0.6666666666666666,2805.1124747939634,0.02383378308562956
0.6666666666666666,2798.245614035088,0.023427641163685668
0.6666666666666666,2796.939708568175,0.02383378308562956
0.6666666666666666,2792.1236298568892,0.02460239820869775
0.6666666666666666,,
0.6666666666666666,2584.148399904947,0.040881688243912896
0.6666666666666666,2578.9473684210525,0.04061789038841974
0.6666666666666666,2570.1754385964914,0.040324367778561625
0.6666666666666666,2561.40350877193,0.039889189572545475
0.6666666666666666,2556.6370967908906,0.039604484144772606
0.6666666666666666,2561.40350877193,0.038445697961604956
0.6666666666666666,2561.731646030849,0.03836718178112645
0.6666666666666666,2562.7740747624753,0.03716853456404114
0.6666666666666666,2570.1754385964914,0.03667622182507536
0.6666666666666666,2578.9473684210525,0.03644188903072535
0.6666666666666666,2587.719298245614,0.036321163873647595
0.6666666666666666,2596.4912280701756,0.036247184933020676
0.6666666666666666,2598.8974368118793,0.03600733484985617
0.6666666666666666,2605.2631578947367,0.03534827090858683
0.6666666666666666,2608.550312967548,0.03488241272347604
0.6666666666666666,2609.7579603269187,0.03379263481967431
0.6666666666666666,2610.3181586466117,0.03273690318122209
0.6666666666666666,2610.878356966304,0.03171415415268999
0.6666666666666666,2611.4385552859967,0.030723357308809308
0.6666666666666666,2612.287606302365,0.029763514416313162
0.6666666666666666,2613.242612544651,0.02883365842821083
0.6666666666666666,2613.533269420718,0.02793285250948253
0.6666666666666666,2613.8239262967854,0.02706018909321316
0.6666666666666666,2614.0350877192986,0.026443348818168164
0.6666666666666666,2614.1145831728527,0.026214788966213532
0.6666666666666666,2614.644013403478,0.025395800383208284
0.6666666666666666,2616.699700587223,0.02460239820869775
0.6666666666666666,2616.8891326437133,0.02383378308562956
0.6666666666666666,2617.0785647002035,0.023089180630041926
0.6666666666666666,2617.267996756694,0.022367840650867485
0.6666666666666666,2617.7051073251832,0.02166903639411181
0.6666666666666666,2620.727796165421,0.020992063810644696
0.6666666666666666,2622.8070175438597,0.02053523066018551
0.6666666666666666,2623.7272008519535,0.020336240846866725
0.6666666666666666,2625.0252315166153,0.01970090675753665
0.6666666666666666,2625.1878633492124,0.01908542144006686
0.6666666666666666,2625.350495181809,0.01848916478961645
0.6666666666666666,2625.5131270144057,0.017911536074332303
0.6666666666666666,2627.0333414650718,0.017351953330108378
0.6666666666666666,2629.865517940242,0.016809852774253637
0.6666666666666666,2630.656131884575,0.016284688237477973
0.6666666666666666,2630.7792789474224,0.015775930613623614
0.6666666666666666,2630.9024260102688,0.015283067326587695
0.6666666666666666,2631.0511269520266,0.0148056018138991
0.6666666666666666,2631.578947368421,0.01472185693213707
0.6666666666666666,2634.0045679894724,0.014343053026429043
0.6666666666666666,2636.616110077951,0.013894954943731374
0.6666666666666666,2637.1050427076357,0.013460856104524408
0.6666666666666666,2637.2007219626216,0.013040319151841302
0.6666666666666666,2637.296401217608,0.012632920392390395
0.6666666666666666,2638.9083832061146,0.012238249369681924
0.6666666666666666,2640.350877192983,0.012049504805274964
0.6666666666666666,2641.8541181101714,0.011855908450490893
0.6666666666666666,2644.2872999541423,0.01148551242423938
0.6666666666666666,2644.605054112975,0.011126688114894732
0.6666666666666666,2644.680752504609,0.010779074004992725
0.6666666666666666,2644.917587338333,0.0104423198714067
0.6666666666666666,2647.8572266636893,0.010116086432495808
0.6666666666666666,2649.122807017544,0.009978792985307542
0.6666666666666666,2650.7968659890457,0.009800045006276945
0.6666666666666666,2653.167370405659,0.00949387717927582
0.6666666666666666,2653.409641915436,0.009197274485723637
0.6666666666666666,2653.4703067801465,0.008909938096776107
0.6666666666666666,2653.5197540040267,0.008631578519441796
0.6666666666666666,2653.5610606607693,0.008361915304916317
0.6666666666666666,2654.046822227793,0.008100676766028598
0.6666666666666666,2657.2224563631994,0.007847599703514606
0.6666666666666666,2657.8947368421054,0.0077997300825429945
0.6666666666666666,2660.7098813901925,0.007602429140842625
0.6666666666666666,2664.139843863075,0.007364918067322966
0.6666666666666666,2666.666666666667,0.007166125505400767
0.6666666666666666,2667.0708710906342,0.007134827189243392
0.6666666666666666,2670.0018983181926,0.006911924688779366
0.6666666666666666,2672.9329255457515,0.006695985990436289
0.6666666666666666,2675.438596491228,0.006516741626456865
0.6666666666666666,2675.8639527733108,0.006486793534788508
0.6666666666666666,2676.0808753084993,0.006284136559286965
0.6666666666666666,2677.931008229918,0.0060878108859147625
0.6666666666666666,2680.858982965337,0.005897618715476725
0.6666666666666666,2683.7869577007564,0.00571336842831558
0.6666666666666666,2684.2105263157896,0.005687195187920842
0.6666666666666666,2686.7149324361753,0.005534874391254136
0.6666666666666666,2689.626097410196,0.005361956770568816
0.6666666666666666,2691.0845150748787,0.005194441350806199
0.6666666666666666,2692.982456140351,0.005088572695923071
0.6666666666666666,2694.607723126588,0.005032159359259993
0.6666666666666666,2699.235003791972,0.004874947295931591
0.6666666666666666,2701.754385964912,0.004791426147371158
0.6666666666666666,2703.6531053825206,0.004874947295931591
0.6666666666666666,2707.1404316581666,0.005032159359259993
0.6666666666666666,2709.3580746751877,0.005194441350806199
0.6666666666666666,2710.397472135381,0.005361956770568816
0.6666666666666666,2710.5263157894733,0.005369421889789382
0.6666666666666666,2713.336862196763,0.005534874391254136
0.6666666666666666,2716.2762522581443,0.00571336842831558
0.6666666666666666,2719.215642319526,0.005897618715476719
0.6666666666666666,2719.2982456140353,0.005902881505259056
0.6666666666666666,2722.155032380908,0.0060878108859147555
0.6666666666666666,2724.0253506564154,0.006284136559286965
0.6666666666666666,2724.536267630203,0.006486793534788508
0.6666666666666666,2727.1993086898547,0.006695985990436289
0.6666666666666666,2728.0701754385964,0.0067591216589973505
0.6666666666666666,2730.144655239054,0.006911924688779366
0.6666666666666666,2733.090001788253,0.007134827189243392
0.6666666666666666,2736.0353483374524,0.007364918067322966
0.6666666666666666,2736.423704059573,0.007602429140842625
0.6666666666666666,2736.557597222853,0.007847599703514606
0.6666666666666666,2736.842105263158,0.00787376179068067
0.6666666666666666,2739.1747314872755,0.008100676766028598
0.6666666666666666,2742.127698774626,0.008361915304916317
0.6666666666666666,2745.0806660619764,0.008631578519441796
0.6666666666666666,2745.6140350877195,0.008714930558126718
0.6666666666666666,2746.842219621199,0.008909938096776107
0.6666666666666666,2746.962798487193,0.009197274485723637
0.6666666666666666,2747.083377353187,0.00949387717927582
0.6666666666666666,2749.595451511811,0.009800045006276945
0.6666666666666666,2752.5585298309775,0.010116086432495808
0.6666666666666666,2754.3859649122805,0.010316060857592048
0.6666666666666666,2755.5216081501444,0.0104423198714067
0.6666666666666666,2755.83686807701,0.010779074004992725
0.6666666666666666,2755.995056354697,0.011126688114894737
0.6666666666666666,2756.1532446323854,0.01148551242423938
0.6666666666666666,2758.757588939641,0.011855908450490893
0.6666666666666666,2761.7343136016843,0.012238249369681924
0.6666666666666666,2763.157894736842,0.012571137933311747
0.6666666666666666,2763.417944565099,0.012632920392390402
0.6666666666666666,2763.633221620549,0.013040319151841302
0.6666666666666666,2763.8484986759995,0.013460856104524415
0.6666666666666666,2764.0893135775873,0.013894954943731374
0.6666666666666666,2766.9442451191667,0.014343053026429043
0.6666666666666666,2769.940147634423,0.0148056018138991
0.6666666666666666,2770.2770094250727,0.015283067326587688
0.6666666666666666,2770.58926945728,0.015775930613623614
0.6666666666666666,2770.9015294894866,0.016284688237477973
0.6666666666666666,2771.4664475733334,0.016809852774253637
0.6666666666666666,2771.9298245614036,0.016891759564297695
0.6666666666666666,2774.4922451219863,0.017351953330108378
0.6666666666666666,2776.2268351162384,0.017911536074332303
0.6666666666666666,2776.746245886819,0.01848916478961645
0.6666666666666666,2777.2656566573996,0.01908542144006686
0.6666666666666666,2777.78506742798,0.01970090675753665
0.6666666666666666,2778.900797562597,0.020336240846866725
0.6666666666666666,2780.7017543859647,0.020703143278287112
0.6666666666666666,2782.097590220908,0.020992063810644696
0.6666666666666666,2788.230238961291,0.02166903639411181
0.6666666666666666,2789.4736842105267,0.0218089377310527
0.6666666666666666,2794.362887701674,0.022367840650867485
0.6666666666666666,2798.245614035088,0.02291558238260079
0.6666666666666666,2804.118921323361,0.022367840650867485
0.6666666666666666,2807.0175438596493,0.022147103520626356
0.6666666666666666,2810.934881981875,0.02166903639411181
